comment,toxic
"а сколько ж эпоксидка будет стоить, как писали выше - нужна хорошего качества.
",0.0
"Колян никак не созреет, а созреет, так мамка заругает
",1.0
"Состояние, когда не знаешь, чем заняться, плавно превращается в скуку и тоску И у тебя радикулит.
",1.0
"Это где такая пенсия? Я в шоке просто... У бабушки с дедушкой недавно интересовался, 22 и 24 соответственно. Она учителем всю жизнь работала, дед от водителя до начальника гаража.
",0.0
"За 65 миллионов лет приспособились бы
",0.0
"Вот когда научатся, вот тогда и хай живут)
",0.0
"Международный день пофигизма
",0.0
"Нормальная АР обойдется в 100 000. И обвес с комплектом магазинов ну максимум в 30000-50000.
",0.0
"А мы таскали из дома. Как сейчас помню: я маленького ростика, третий класс наверное и сегодня урок физры. Тащу огромный рюкзак, сменку и ботинки лыжные ,и лыжи с палками. Периодически падаю, руки уже болят от неудобной ноши, слезы стоят в глазах.
",0.0
"Не знаю, как сейчас в календаре прививок, ибо дочери уже 19 лет, но раньше последнюю АКДС делали в 6 лет.
",0.0
"Оставшимся процентом видимо
",0.0
"У нас дома был такой когда-то, от ручки током дёргало, но денег на другой холодильник не было. Зато я научился опасаться электричества безо всяких гвоздей в розетках.
",0.0
"Честно говоря базовые потребности полностью покрывает Yota, исключая торрент и игры.
",0.0
"Вожака? Ясненько... Теория доминирования не работает между видами. Я например не считаю драки нормой, выяснять отношения собаки могут и без драк так то, сигналы примирения и все такое. И да, драться я не даю своим не только потому что выставочные и все такое, но и потому что в семье не должно быть насилия.
",0.0
"Ну так и я на диете. Просто не сразу. Сначала преодолеть сахарную ломку , потом уже снижать калории. Мне 31, если что. Минус 3 кило в месяц без экстремальных диет.
",0.0
"Когда выйграл джекпот но посыпались не деньги а снег ..
",0.0
"У меня карта примерно 4х4.5км у тебя примерно 3х3.5км примерно сопоставимо по плотности. 3-7 пятёрочек на 1 квадратный км.
",0.0
"Правда. И не только шведы. Некоторые немцы так делают, хотя у них дешевле, чем в Швеции.
",0.0
"Да это понятно, но фильм то как называется?
",0.0
"3 января возможно, на жд например так даты используются
",0.0
"Причем тут нарушать? Камеры надо ставить там, где нарушать опасно для жизни. А не на ровных участках трассы, где нарушать безопасно и многие нарушают - так называемые хлебные места
",0.0
"Что это за ёбань? Моллюски?
",1.0
